
P $Q_A$
3.8752937E-6 3.0573104E-9
3.8740677E-6 3.0617635E-9
3.8728413E-6 3.0519072E-9
3.871614E-6 3.0552871E-9
3.8703865E-6 3.0512153E-9
3.8691583E-6 3.0525602E-9
3.8679295E-6 3.0548715E-9
3.8667004E-6 3.0499645E-9
3.865471E-6 3.0483263E-9
3.864241E-6 3.0511351E-9
3.8630105E-6 3.0458536E-9
3.861779E-6 3.0500344E-9
3.8605476E-6 3.0382594E-9
3.8593157E-6 3.0434462E-9
3.8580833E-6 3.0471752E-9
3.85685E-6 3.0482668E-9
3.855617E-6 3.0555367E-9
3.8543826E-6 3.0519574E-9
3.8531484E-6 3.0376701E-9
3.8519133E-6 3.0518696E-9
3.850678E-6 3.0322256E-9
3.8494422E-6 3.0394194E-9
3.848206E-6 3.050211E-9
3.846969E-6 3.0374372E-9
3.8457315E-6 3.029412E-9
3.8444937E-6 3.0416754E-9
3.8432554E-6 3.0366971E-9
3.8420167E-6 3.036784E-9
3.8407775E-6 3.0327454E-9
3.839538E-6 3.0363136E-9
3.8382977E-6 3.0323626E-9
3.837057E-6 3.033678E-9
3.8358157E-6 3.0444254E-9
3.8345743E-6 3.0342033E-9
3.8333324E-6 3.039443E-9
3.8320895E-6 3.0362541E-9
3.8308467E-6 3.0254064E-9
3.8296034E-6 3.040326E-9
3.8283592E-6 3.0390586E-9
3.827115E-6 3.0371128E-9
3.8258704E-6 3.0383402E-9
3.824625E-6 3.0436444E-9
3.8233793E-6 3.0344272E-9
3.822133E-6 3.0303247E-9
3.8208864E-6 3.024365E-9
3.8196395E-6 3.0336964E-9
3.8183916E-6 3.030374E-9
3.817144E-6 3.0123066E-9
3.815895E-6 3.0268725E-9
3.8146463E-6 3.0188123E-9
3.813397E-6 3.0115574E-9
3.8121473E-6 3.0233234E-9
3.810897E-6 3.0192069E-9
3.8096462E-6 3.0168283E-9
3.8083951E-6 3.0145675E-9
3.8071435E-6 3.0237886E-9
3.8058915E-6 3.0284895E-9
3.804639E-6 3.0136496E-9
3.803386E-6 3.0169656E-9
3.8021326E-6 3.023127E-9
3.8008789E-6 3.014723E-9
3.7996247E-6 3.0162706E-9
3.79837E-6 3.0119047E-9
3.797115E-6 3.0182992E-9
3.7958594E-6 3.0111735E-9
3.7946033E-6 3.0217706E-9
3.7933469E-6 3.0155953E-9
3.7920902E-6 3.0240888E-9
3.7908328E-6 3.0092875E-9
3.7895752E-6 3.0177192E-9
3.7883171E-6 3.0121194E-9
3.7870586E-6 3.0153258E-9
3.7857997E-6 3.0110232E-9
3.7845402E-6 2.9952365E-9
3.7832806E-6 3.007442E-9
3.7820203E-6 3.0039022E-9
3.7807597E-6 2.9965546E-9
3.7794987E-6 2.9998097E-9
3.7782372E-6 3.0076113E-9
3.7769753E-6 3.0129488E-9
3.775713E-6 3.0082552E-9
3.7744503E-6 3.00303E-9
3.7731872E-6 2.9949587E-9
3.7719237E-6 3.00831E-9
3.7706598E-6 3.0028062E-9
3.7693953E-6 3.0161407E-9
3.7681307E-6 3.0021257E-9
3.7668656E-6 3.0086618E-9
3.7656E-6 3.0088692E-9
3.764334E-6 3.009959E-9
3.7630678E-6 2.9918394E-9
3.761801E-6 3.012115E-9
3.760534E-6 3.0080132E-9
3.7592663E-6 3.005268E-9
3.7579985E-6 2.99447E-9
3.7567302E-6 2.9970373E-9
3.7554614E-6 3.0052634E-9
3.7541924E-6 2.9913902E-9
3.752923E-6 2.9934564E-9
3.7516531E-6 2.993799E-9
3.7503828E-6 2.991036E-9
3.7491122E-6 3.0062501E-9
3.7478412E-6 2.983892E-9
3.74657E-6 2.9905474E-9
3.745298E-6 3.0077756E-9
3.7440261E-6 2.9945983E-9
3.7427535E-6 2.9867055E-9
3.7414807E-6 2.9991887E-9
3.7402074E-6 2.9899394E-9
3.7389339E-6 2.990274E-9
3.7376599E-6 3.0009746E-9
3.7363855E-6 2.9910128E-9
3.7351108E-6 2.9823615E-9
3.7338357E-6 2.9900535E-9
3.7325601E-6 2.9964253E-9
3.7312843E-6 2.995268E-9
3.7300083E-6 2.9932783E-9
3.7287316E-6 2.9858742E-9
3.727455E-6 2.988391E-9
3.7261775E-6 2.985518E-9
3.7249E-6 2.9855318E-9
3.723622E-6 2.9894267E-9
